#"Steps"	"Temperature (K)"	"298K Weight"	"322.602K Weight"	"349.235K Weight"	"378.066K Weight"	"409.278K Weight"	"443.067K Weight"	"479.645K Weight"	"519.243K Weight"	"562.109K Weight"	"608.515K Weight"	"658.752K Weight"	"713.136K Weight"	"772.01K Weight"	"835.745K Weight"	"904.741K Weight"	"979.433K Weight"	"1060.29K Weight"	"1147.83K Weight"	"1242.59K Weight"	"1345.17K Weight"	"1456.22K Weight"	"1576.44K Weight"	"1706.59K Weight"	"1847.48K Weight"	"2000K Weight"
56000	443.067	0	0.75	1.5	0.5	0	-1	-1	-2.5	-3.5	-5	-6.5	-7.75	-10.75	-12.75	-15.5	-17.75	-20.75	-23.75	-25.25	-27.75	-30.75	-32.75	-35.75	-38.75	-42.25
57000	562.109	0	0.5	0.25	-0.25	-1	-1.5	-1.75	-3	-4	-5.5	-6.75	-8.25	-10.5	-12.75	-15.25	-17.5	-20.5	-23.5	-25	-27.5	-30.5	-32.5	-35.5	-38.5	-42
58000	519.243	0	0.5	0.25	-0.25	-1	-2	-2.5	-4	-5.25	-6.5	-8.5	-9.5	-11.75	-13.5	-15.5	-17.75	-20.5	-23.5	-25	-27.5	-30.5	-32.5	-35.5	-38.5	-42
59000	608.515	0	0.5	0.25	-0.25	-1	-2	-2.5	-4	-5.25	-6.75	-9	-10.5	-12.5	-14.75	-17	-19	-21.5	-24	-25.5	-28.5	-30.75	-32.75	-35.5	-38.5	-42
60000	2000	0	0.5	0.25	-0.25	-1	-2	-2.5	-4	-5.25	-6.75	-9	-10.5	-12.75	-15	-17.25	-19.25	-21.5	-24.25	-26.5	-29	-32	-34.75	-37.5	-39.5	-43
61000	1456.22	0	0.5	0.25	-0.25	-1	-2	-2.5	-4	-5.25	-6.75	-9	-10.5	-12.75	-15	-17.25	-19.25	-21.5	-24.5	-27.25	-29.5	-33.5	-36	-38.75	-42	-45
62000	1345.17	0	0.5	0.25	-0.25	-1	-2	-2.5	-4	-5.25	-6.75	-9	-10.5	-12.75	-15	-17.5	-20.25	-22.75	-25.5	-28	-31	-34.25	-37.5	-39.5	-42.75	-45.5
63000	772.01	0	0.5	0.25	-0.25	-1	-2	-2.5	-4.75	-5.25	-7	-9	-11.75	-14	-15.5	-17.75	-21	-23.25	-26.5	-29	-32	-35.25	-37.5	-39.75	-43	-45.5
64000	2000	0	0.5	0.25	-0.25	-1	-2	-2.5	-5	-5.75	-8	-10.25	-12.25	-14.5	-16.5	-19	-21.75	-24.25	-27.25	-30	-32	-35.25	-37.5	-39.75	-43	-45.75
65000	1576.44	0	0.5	0.25	-0.25	-1	-2	-2.5	-5	-5.75	-8	-10.25	-12.25	-14.5	-16.5	-19.25	-21.75	-24.25	-27.625	-30.5	-32.25	-35.75	-38.375	-41.5	-44	-47.125
66000	1706.59	0	0.5	0.25	-0.25	-1	-2	-2.5	-5	-5.75	-8	-10.25	-12.25	-14.5	-16.75	-19.75	-22.125	-24.625	-28.125	-31	-33	-36.25	-38.75	-41.625	-44.375	-47.5
67000	1847.48	0	0.5	0.25	-0.25	-1	-2	-2.5	-5	-5.75	-8	-10.25	-12.25	-14.5	-16.75	-19.75	-22.125	-24.625	-28.125	-31.125	-33.375	-36.5	-39.25	-42.625	-45.75	-48.875
68000	1345.17	0	0.5	0.25	-0.25	-1	-2	-2.5	-5	-5.75	-8	-10.25	-12.25	-14.5	-16.75	-19.75	-22.125	-24.625	-28.125	-31.375	-33.75	-37	-40.125	-43.5	-46.75	-50
69000	1060.29	0	0.5	0.25	-0.25	-1	-2	-2.5	-5	-5.75	-8	-10.25	-12.25	-14.5	-16.75	-19.75	-22.375	-24.875	-28.375	-31.625	-34.5	-37.625	-41.125	-44.5	-47	-50.375
70000	1147.83	0	0.5	0.25	-0.25	-1	-2	-2.5	-5	-5.75	-8	-10.25	-12.25	-14.5	-17.125	-20.25	-23	-25.375	-28.875	-32.25	-34.875	-38.125	-41.625	-44.625	-47.25	-50.5
71000	1060.29	0	0.5	0.25	-0.25	-1	-2	-2.5	-5	-5.75	-8	-10.25	-12.25	-14.75	-17.875	-21.125	-23.375	-26.125	-29.125	-32.625	-35.25	-38.5	-42.125	-44.75	-47.25	-50.5
72000	979.433	0	0.5	0.25	-0.25	-1	-2	-2.5	-5.125	-6.25	-8.25	-10.625	-12.875	-15.25	-18.5	-21.5	-23.75	-26.375	-29.625	-32.75	-35.5	-38.625	-42.125	-44.75	-47.25	-50.5
73000	1576.44	0	0.5	0.25	-0.25	-1	-2	-2.5	-5.125	-6.25	-8.25	-10.625	-12.875	-15.375	-19	-21.75	-24.625	-27.125	-30.125	-33.125	-35.875	-39	-42.375	-44.875	-47.75	-50.5
74000	2000	0	0.5	0.25	-0.25	-1	-2	-2.5	-5.125	-6.25	-8.25	-10.625	-12.875	-15.375	-19	-22	-24.625	-27.25	-30.25	-33.375	-36.375	-39.625	-42.875	-45.625	-48.5	-51.625
75000	1706.59	0	0.5	0.25	-0.25	-1	-2	-2.5	-5.125	-6.25	-8.25	-10.625	-12.875	-15.375	-19	-22	-24.625	-27.375	-30.5	-33.875	-36.75	-40	-43.25	-46.75	-49.5	-52.5
76000	1147.83	0	0.5	0.25	-0.25	-1	-2	-2.5	-5.125	-6.25	-8.25	-10.625	-12.875	-15.375	-19	-22	-24.625	-27.75	-30.875	-34.125	-37.125	-40.625	-43.75	-47	-50.5	-53.75
77000	979.433	0	0.5	0.25	-0.25	-1	-2	-2.5	-5.125	-6.25	-8.25	-10.625	-13	-15.375	-19	-22	-24.875	-28.25	-31.125	-34.75	-37.875	-41.375	-44.5	-47.375	-50.625	-54.25
78000	979.433	0	0.5	0.25	-0.25	-1	-2	-2.5	-5.125	-6.25	-8.375	-10.875	-13.25	-16.125	-19.625	-22.5	-26.25	-28.625	-31.375	-35	-38.125	-41.375	-44.5	-47.375	-50.625	-54.25
79000	409.278	0	0.25	0.25	-0.375	-1.5	-2	-3.375	-5.375	-6.625	-8.875	-11.25	-13.75	-17	-19.875	-22.5	-26.25	-28.75	-31.375	-35	-38.125	-41.375	-44.5	-47.375	-50.625	-54.25
80000	349.235	0	0	0.25	-0.25	-1.25	-1.875	-2.875	-4.625	-6.125	-8.25	-10.5	-13.125	-16.25	-19.125	-21.75	-25.5	-28	-30.625	-34.25	-37.375	-40.625	-43.75	-46.625	-49.875	-53.5
81000	519.243	0	0.125	0.375	-0.5	-2	-2.25	-3.625	-5	-6.25	-8.375	-10.25	-12.875	-16	-18.875	-21.5	-25.25	-27.75	-30.375	-34	-37.125	-40.375	-43.5	-46.375	-49.625	-53.25
82000	443.067	0	0.5	-0.25	-0.25	-1.625	-1.75	-3	-4.5	-5.375	-7.5	-9.375	-12	-15.125	-18	-20.625	-24.375	-26.875	-29.5	-33.125	-36.25	-39.5	-42.625	-45.5	-48.75	-52.375
83000	322.602	0	0	0.75	0.5	-0.125	-0.375	-1.625	-3	-3.875	-6	-7.875	-10.5	-13.625	-16.5	-19.125	-22.875	-25.375	-28	-31.625	-34.75	-38	-41.125	-44	-47.25	-50.875
84000	409.278	0	-0.125	0.375	0.625	0.125	-0.5	-1.5	-2.625	-3.5	-5.375	-7.25	-9.875	-13	-15.875	-18.5	-22.25	-24.75	-27.375	-31	-34.125	-37.375	-40.5	-43.375	-46.625	-50.25
85000	479.645	0	0	0.125	0.5	-0.125	-0.75	-2	-3.375	-4.375	-5.625	-7.75	-9.75	-12.875	-15.75	-18.375	-22.125	-24.625	-27.25	-30.875	-34	-37.25	-40.375	-43.25	-46.5	-50.125
86000	443.067	0	0.25	0	0.25	-0.125	-0.625	-1.75	-3.25	-4.125	-5.375	-7.5	-9.625	-12.625	-15.25	-17.875	-21.625	-24.125	-26.75	-30.375	-33.5	-36.75	-39.875	-42.75	-46	-49.625
87000	409.278	0	-0.625	-0.875	-0.125	-0.5	-1	-2	-3.125	-3.875	-5.125	-7.25	-9.375	-12.375	-15	-17.625	-21.375	-23.875	-26.5	-30.125	-33.25	-36.5	-39.625	-42.5	-45.75	-49.375
88000	378.066	0	-0.125	-0.125	0.5	0.25	-0.125	-1.125	-2	-2.75	-4.125	-6.125	-8.125	-11.125	-13.75	-16.375	-20.125	-22.625	-25.25	-28.875	-32	-35.25	-38.375	-41.25	-44.5	-48.125
89000	658.752	0	0.375	0.5	0.75	0.75	0.5	-0.625	-1.125	-2	-3.625	-5.25	-7.125	-10.125	-12.75	-15.375	-19.125	-21.625	-24.25	-27.875	-31	-34.25	-37.375	-40.25	-43.5	-47.125
90000	378.066	0	0.25	0.375	0.625	0.375	0.125	-0.875	-2	-3	-4.25	-5.75	-7.5	-10.125	-12.875	-15.5	-19.125	-21.625	-24.25	-27.875	-31	-34.25	-37.375	-40.25	-43.5	-47.125
91000	835.745	0	0.25	0.375	0.625	0.25	0.125	-0.875	-2	-3.125	-4.25	-6.375	-8	-11.25	-13.4375	-16.0625	-19.1875	-21.75	-24.375	-27.875	-31	-34.25	-37.375	-40.25	-43.5	-47.125
92000	1456.22	0	0.25	0.375	0.625	0.25	0.125	-0.875	-2	-3.125	-4.25	-6.375	-8	-11.4375	-13.6875	-16.1875	-19.3125	-21.8125	-24.5625	-28.25	-31.25	-34.5625	-37.625	-40.375	-43.625	-47.25
93000	772.01	0	0.25	0.375	0.625	0.25	0.125	-0.875	-2.125	-3.125	-4.375	-6.5	-8.1875	-11.625	-13.6875	-16.5	-19.5625	-22.0625	-24.6875	-28.4375	-31.375	-34.8125	-37.6875	-40.5	-43.6875	-47.25
94000	1456.22	0	0.25	0.375	0.625	0.25	0.125	-0.875	-2.125	-3.125	-4.5	-6.6875	-8.375	-12.1875	-13.875	-16.75	-19.5625	-22.3125	-24.75	-28.5	-31.4375	-34.9375	-37.75	-40.5625	-43.8125	-47.4375
95000	835.745	0	0.25	0.375	0.625	0.25	0.125	-0.875	-2.125	-3.125	-4.5	-6.75	-8.4375	-12.375	-14.0625	-17.1875	-19.75	-22.5625	-25.25	-28.6875	-31.5625	-35	-37.875	-40.625	-43.875	-47.4375
96000	608.515	0	0.25	0.375	0.625	0.25	0.125	-1.0625	-2.4375	-3.3125	-5	-7.1875	-8.9375	-12.5	-14.25	-17.25	-19.75	-22.5625	-25.25	-28.6875	-31.5625	-35	-37.875	-40.625	-43.875	-47.4375
97000	658.752	0	0.25	0.375	0.625	0.1875	0.0625	-1.1875	-2.8125	-3.875	-5.375	-7.5625	-9.4375	-12.5625	-14.25	-17.25	-19.75	-22.5625	-25.25	-28.6875	-31.5625	-35	-37.875	-40.625	-43.875	-47.4375
98000	979.433	0	0.25	0.375	0.625	0.1875	0	-1.1875	-3	-3.9375	-6.0625	-7.6875	-9.8125	-12.875	-14.5625	-17.4375	-19.8125	-22.625	-25.3125	-28.6875	-31.5625	-35	-37.875	-40.625	-43.875	-47.4375
99000	519.243	0	0.25	0.375	0.625	0.1875	-0.0625	-1.1875	-3.125	-4.3125	-6.1875	-8	-10.25	-13.0625	-14.875	-17.625	-20	-22.625	-25.5	-28.6875	-31.5625	-35	-37.875	-40.625	-43.875	-47.4375
100000	443.067	0	0.1875	0.375	0.3125	0.125	-0.75	-1.5625	-3.1875	-4.4375	-6.3125	-8	-10.1875	-13	-14.8125	-17.5625	-19.9375	-22.5625	-25.4375	-28.625	-31.5	-34.9375	-37.8125	-40.5625	-43.8125	-47.375
101000	298	0	0.125	0.6875	0.4375	0.1875	-0.5	-1.125	-2.8125	-3.9375	-5.8125	-7.5	-9.6875	-12.5	-14.3125	-17.0625	-19.4375	-22.0625	-24.9375	-28.125	-31	-34.4375	-37.3125	-40.0625	-43.3125	-46.875
102000	479.645	0	0.125	0.6875	0.375	-0.125	-0.6875	-1.5625	-3	-4.625	-6.1875	-7.6875	-9.75	-12.5	-14.3125	-17.0625	-19.4375	-22.0625	-24.9375	-28.125	-31	-34.4375	-37.3125	-40.0625	-43.3125	-46.875
103000	904.741	0	0.125	0.6875	0.375	-0.125	-0.6875	-1.5625	-3.125	-4.6875	-6.375	-7.9375	-10.125	-12.75	-14.625	-17.4375	-19.75	-22.1875	-25	-28.1875	-31	-34.4375	-37.3125	-40.0625	-43.3125	-46.875
104000	713.136	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.75	-6.6875	-8.125	-10.4375	-12.9375	-15	-17.6875	-20.1875	-22.3125	-25.0625	-28.25	-31.0625	-34.4375	-37.3125	-40.0625	-43.3125	-46.875
105000	1456.22	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.75	-6.6875	-8.1875	-10.5	-13.0625	-15.25	-17.75	-20.375	-22.4375	-25.1875	-28.5	-31.3125	-34.875	-37.5625	-40.1875	-43.4375	-46.9375
106000	1706.59	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.75	-6.6875	-8.1875	-10.5	-13.0625	-15.25	-17.75	-20.4375	-22.625	-25.375	-28.8125	-31.6875	-35.1875	-37.9375	-40.625	-43.625	-47
107000	1847.48	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.75	-6.6875	-8.1875	-10.5	-13.0625	-15.25	-17.75	-20.4375	-22.75	-25.625	-28.9375	-31.875	-35.4375	-38.25	-40.875	-44.375	-47.25
108000	1456.22	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.75	-6.6875	-8.1875	-10.5	-13.0625	-15.25	-17.75	-20.4375	-22.875	-25.75	-29.125	-32.25	-35.5625	-38.75	-41.4375	-44.75	-47.375
109000	1345.17	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.75	-6.6875	-8.1875	-10.5	-13.0625	-15.25	-17.875	-20.625	-23.0625	-26.1875	-29.3125	-32.4375	-35.75	-38.875	-41.9375	-44.875	-47.625
110000	979.433	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.75	-6.75	-8.25	-10.5625	-13.3125	-15.5625	-18.125	-20.75	-23.25	-26.3125	-29.375	-32.5	-35.9375	-38.875	-42	-45.125	-48.0625
111000	904.741	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.8125	-6.8125	-8.375	-10.625	-13.5	-16	-18.375	-20.9375	-23.8125	-26.4375	-29.6875	-32.5	-36	-38.9375	-42	-45.125	-48.0625
112000	904.741	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.8125	-6.8125	-8.375	-10.6875	-13.625	-16.125	-18.75	-21.0625	-24.125	-26.625	-30.0625	-32.8125	-36.1875	-39.125	-42.0625	-45.1875	-48.0625
113000	1147.83	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.8125	-6.8125	-8.375	-10.6875	-13.8125	-16.3125	-19.125	-21.3125	-24.3125	-27.0625	-30.375	-33.125	-36.3125	-39.1875	-42.0625	-45.1875	-48.125
114000	1147.83	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.8125	-6.8125	-8.375	-10.6875	-13.8125	-16.3125	-19.125	-21.375	-24.375	-27.5	-30.5	-33.375	-36.6875	-39.625	-42.375	-45.375	-48.375
115000	1147.83	0	0.125	0.6875	0.375	-0.125	-0.75	-1.5625	-3.125	-4.8125	-6.8125	-8.5	-10.75	-14.0625	-16.375	-19.375	-22	-24.75	-27.875	-30.625	-33.625	-36.6875	-39.625	-42.375	-45.375	-48.375
116000	479.645	0	0.125	0.6875	0.375	-0.125	-0.75	-1.75	-3.25	-5.0625	-7.0625	-8.75	-11.1875	-14.1875	-16.625	-19.5625	-22.1875	-24.8125	-27.875	-30.75	-33.625	-36.75	-39.625	-42.375	-45.375	-48.375
117000	658.752	0	0.125	0.6875	0.375	-0.1875	-0.75	-1.9375	-3.625	-5.3125	-7.3125	-9.25	-11.4375	-14.375	-16.875	-19.625	-22.25	-24.8125	-27.9375	-30.75	-33.625	-36.75	-39.625	-42.375	-45.375	-48.375
